,lam1,lam2,mu1,mu2,gamma,RE,n_packets
0,0.6,0.2,2.0,1.0,0.4203286697882449,0.03979441111179753,20034.0
1,0.6716194823458405,0.6156330017971942,1.228100536472889,0.5112701883075826,6.431239773681727,0.03170226881708485,115050.0
2,0.801596346845178,0.6064928247042762,1.3235976006139434,0.4658541043088965,10.0,0.0352512376178931,169586.0
3,0.8304701577210146,0.5987610523811517,1.3534912081836765,0.4517841481721764,10.0,0.027088548015928738,175051.0
4,0.8492672971647982,0.6007605195294708,1.3424657536643965,0.4399254727620622,10.0,0.03630900937056656,176904.0
5,0.8342119601860181,0.5982005750902749,1.357862818394953,0.44771025187863633,10.0,0.02758344164517428,173824.0
6,0.8515813512475721,0.5955294739538959,1.3381459077807036,0.4411206861155366,10.0,0.030977367747202455,176127.0
7,0.8461446490781532,0.585385754207223,1.3474076663702352,0.4432040690844065,10.0,0.027883513767664778,171700.0
8,0.8450411021051584,0.59899162265876,1.3361067064822583,0.43523898817946177,10.0,0.029198155656687246,173359.0
9,0.8392039620610394,0.6020794642949019,1.3334031455921058,0.442273416104826,10.0,0.03309346035079978,174572.0
10,0.8204897498205567,0.5791510463854309,1.3366737345090036,0.4373962955149862,10.0,0.010098994235738368,1702331.0
